Loan Id,Duration,Received,Persons Received From Total,Banks Received,Paybills Received Others
,12.0,203934.19,203278.0,100.0,120.0
,12.0,1153225.0,1153135.0,772564.0,150.0
,12.0,130521.82,129012.0,0.0,2467.0
,10.0,1312886.29,890484.0,6072623.0,210110.0
,6.0,237982.0,237982.0,44829.0,18564.0
,6.0,399636.62,374887.0,22893.0,9690.0
,12.0,241089.0,213320.0,149560.0,7654.0
,12.0,105226.0,100226.0,155320.0,2218.0
,8.0,327090.85,103600.0,1400.0,809.0
,12.0,799912.46,667308.0,927950.0,115860.0
,6.0,234377.0,234377.0,3480.0,0.0
,12.0,123058.46,118860.0,41856.0,8893.0
,6.0,2445039.0,2433739.0,1188700.0,135149.0
,12.0,924815.38,906693.0,100630.0,18610.0
,6.0,529697.3,513285.0,142899.0,7360.0
,12.0,221344.24,168830.0,600618.0,113877.0
,12.0,430211.33,250108.0,281200.0,7273.0
,12.0,1721109.75,1562838.0,121350.0,242040.0
,12.0,1721109.75,1562838.0,121350.0,242040.0
,11.0,1652840.19,1584400.0,1542859.0,30637.0
,6.0,192376.59,139056.0,0.0,312308.0
,6.0,444036.95,259758.0,4000.0,36115.0
,6.0,177803.07,165017.0,96419.0,90449.0
,12.0,131231.16,128069.0,32600.0,3023.0
,6.0,146809.87,111814.0,180790.0,0.0
,6.0,88767.0,58450.0,5600.0,515.0
,12.0,2162431.91,1719677.0,1040550.0,281355.6
,12.0,1586947.93,1533487.0,1082196.0,377000.0
,7.0,542523.82,496653.0,15090.0,14114.0
,12.0,56961.83,39478.0,94225.0,140840.0
,12.0,490712.25,411785.0,123589.0,566167.58
,6.0,42760.42,33324.0,12530.0,116690.0
,6.0,13941585.41,11721197.0,7915880.0,616098.0
,12.0,714530.87,702709.0,113630.0,162492.0
,11.0,1842462.89,1298011.0,1121501.0,249552.0
,12.0,1366713.28,1185321.0,103917.0,101246.0
recwly5Hso1qlIdOs,12.0,4892110.29,3919414.0,2738495.0,76110.0
,12.0,6669943.0,6331448.0,2409570.0,227852.0
,12.0,6669943.0,6331448.0,2409570.0,227852.0
,12.0,2538830.0,2547902.0,741660.0,50.0
,12.0,3665302.77,3054022.0,1233874.0,62526.5
,6.0,142645.08,139121.0,1060.0,20.0
,9.0,679179.0,660150.0,154490.0,1500.0
,12.0,145438.48,147496.0,77880.0,11774.0
,12.0,18630.74,17526.0,6000.0,2426.0
,12.0,512169.2,506053.0,22795.0,25661.0
,6.0,327155.0,327155.0,1731233.0,0.0
,6.0,89140.0,86500.0,250.0,2400.0
,6.0,599347.91,347623.0,892840.0,12350.0
,12.0,723662.85,695269.0,242910.0,13793.0
,12.0,1136364.52,1021928.0,159400.0,13200.0
,6.0,96154.23,81900.0,1400.0,4050.0
,6.0,572047.41,556673.0,4100.0,155274.75
,6.0,1722009.12,1433586.0,287990.0,296009.67
,10.0,777825.7,483740.0,1031199.0,2880.0
,10.0,777825.7,483740.0,1031199.0,2880.0
,12.0,777119.92,671234.0,3810.0,6580.0
,6.0,304109.5,300344.0,100160.0,61058.0
,6.0,99869.28,74578.0,74769.0,0.0
,9.0,42728.0,42728.0,124762.0,0.0
,12.0,207335.0,191820.0,327940.0,74480.0
,6.0,182489.02,203876.0,1150.0,394055.0
,12.0,151853.8,147955.0,246700.3,16041.0
,6.0,572532.58,518809.0,446109.0,150.0
,12.0,799075.09,789361.0,106919.0,105432.1
,6.0,251260.0,250760.0,32395.0,627188.0
,6.0,85642.0,85642.0,185200.0,4353.0
,12.0,113024.07,99069.0,16897.0,3810.0
,3.0,481207.41,195080.0,1170.0,1890.0
,3.0,481207.41,195010.0,1170.0,1890.0
,6.0,928422.39,666284.0,516540.0,123300.0
,6.0,274954.0,274954.0,9630.0,117430.0
,12.0,61074.51,46285.0,54750.0,150950.0
,12.0,80617.0,80217.0,430.0,14787.0
,12.0,214439.0,210219.0,75060.0,32011.0
,6.0,98809.23,96047.0,35610.0,160.0
,12.0,580243.43,474556.0,15590.0,147300.0
,12.0,549705.67,420252.0,110200.0,33890.0
,12.0,644350.04,540430.0,175275.0,950.0
,12.0,988406.57,610013.0,749720.0,1096926.0
,6.0,386727.79,215123.0,19030.0,34136.0
,5.0,109697.02,2111.0,100.0,930.0
,6.0,392275.22,381450.0,82690.0,5000.0
,6.0,695165.81,609653.0,693370.0,145591.0
,8.0,118846.0,118846.0,0.0,0.0
,6.0,520075.41,511317.0,169100.0,28388.0
,6.0,328444.56,327636.0,16970.0,34590.0
,6.0,320901.14,288018.0,130210.0,1068248.0
,6.0,54079.0,54079.0,98375.0,17500.0
,12.0,128239.0,128239.0,3980.0,80.0
,12.0,187946.0,187946.0,376285.0,0.0
,12.0,1115485.11,1103819.0,329185.0,580.0
,11.0,276232.7,232084.0,151460.0,658733.25
,6.0,551898.48,458065.0,27809.0,0.0
,2.0,49010.0,49010.0,378240.0,55654.43
,12.0,104383.88,98854.0,30460.0,140.0
,10.0,8229750.9,8047369.0,7931005.0,63360.0
,12.0,803768.94,667137.0,50570.0,63552.0
,12.0,187373.16,157008.0,17470.0,7635.0
,12.0,697556.38,688442.0,25210.0,110.0
,5.0,56414.0,56344.0,0.0,0.0
,12.0,1675430.28,1553780.0,917894.0,590023.0
,12.0,987422.1,977901.0,254770.0,15410.0
,1.0,152801.16,150154.0,800.0,10.0
,6.0,301671.74,270411.0,5695.0,919.0
,12.0,1938056.48,1244909.0,2103309.0,10600.0
,6.0,345166.02,331895.0,7200.0,77080.0
,12.0,823956.0,823956.0,1398209.0,0.0
,12.0,594499.75,439985.0,19000.0,6851.7
,12.0,1296022.7,1292725.0,750300.0,0.0
,6.0,61679.0,59003.0,138312.0,1755.0
,12.0,963327.08,896266.0,202170.0,9938.0
,6.0,449524.43,325312.0,88714.0,280207.0
,10.0,292570.15,247705.0,514066.0,34167.0
,10.0,1831114.88,1812848.0,82502.0,73727.0
,12.0,397675.66,261847.0,4830.0,1125.0
,12.0,444209.02,441047.0,73890.0,149853.4
,11.0,4771248.75,2319815.0,5918920.0,1069.0
,12.0,405981.03,400393.0,111909.0,11921.0
,12.0,267087.59,259920.0,21238.0,3131.48
,12.0,129385.84,106298.0,64575.0,425306.0
,12.0,3635844.59,3579012.0,3088409.0,195356.0
,12.0,2413605.55,1837476.0,689155.0,221670.0
,12.0,504522.0,502934.0,21125.0,7167.0
,2.0,506871.02,26941.0,1010.0,2490.0
,12.0,2518565.53,2362985.0,1084939.0,20580.0
,12.0,164180.11,165085.0,25720.0,270.0
,12.0,477158.43,477014.0,361463.0,1002.0
,12.0,182912.0,176362.0,101971.0,14079.0
,12.0,449696.71,402348.0,54700.0,16620.0
,5.0,443756.0,415356.0,456964.0,119256.0
,6.0,1435983.31,1204495.0,502825.0,312068.0
,6.0,243949.78,235480.0,0.0,10.0
